INFO  11:19:30,577 | james.imapserver | ID=1958418228 Connection established from 127.0.0.1
INFO  11:19:30,615 | james.imapserver | ID=1958418228 Connection closed for 127.0.0.1
INFO  11:19:30,657 | james.imapserver | ID=620779586 Connection established from 127.0.0.1
INFO  11:19:40,651 | james.imapserver | ID=620779586 Connection closed for 127.0.0.1
INFO  11:19:40,657 | james.imapserver | ID=1289728581 Connection established from 127.0.0.1
INFO  11:19:40,721 | james.imapserver | ID=1289728581 Connection closed for 127.0.0.1
INFO  11:19:40,831 | james.imapserver | ID=1879721074 Connection established from 127.0.0.1
INFO  11:19:50,776 | james.imapserver | ID=1879721074 Connection closed for 127.0.0.1
INFO  11:19:50,782 | james.imapserver | ID=691104294 Connection established from 127.0.0.1
INFO  11:19:50,822 | james.imapserver | ID=691104294 Connection closed for 127.0.0.1
INFO  11:19:50,883 | james.imapserver | ID=584627541 Connection established from 127.0.0.1
INFO  11:20:00,895 | james.imapserver | ID=584627541 Connection closed for 127.0.0.1
INFO  11:20:00,938 | james.imapserver | ID=1968539086 Connection established from 127.0.0.1
INFO  11:20:01,001 | james.imapserver | ID=1968539086 Connection closed for 127.0.0.1
INFO  11:20:01,059 | james.imapserver | ID=147746222 Connection established from 127.0.0.1
INFO  11:20:11,044 | james.imapserver | ID=147746222 Connection closed for 127.0.0.1
INFO  11:20:11,049 | james.imapserver | ID=993752634 Connection established from 127.0.0.1
INFO  11:20:11,084 | james.imapserver | ID=993752634 Connection closed for 127.0.0.1
INFO  11:20:11,130 | james.imapserver | ID=2012715665 Connection established from 127.0.0.1
INFO  11:20:21,122 | james.imapserver | ID=2012715665 Connection closed for 127.0.0.1
INFO  11:20:21,128 | james.imapserver | ID=973831193 Connection established from 127.0.0.1
INFO  11:20:21,168 | james.imapserver | ID=973831193 Connection closed for 127.0.0.1
INFO  11:20:21,214 | james.imapserver | ID=76831886 Connection established from 127.0.0.1
INFO  11:20:31,207 | james.imapserver | ID=76831886 Connection closed for 127.0.0.1
INFO  11:20:31,213 | james.imapserver | ID=896640356 Connection established from 127.0.0.1
INFO  11:20:31,249 | james.imapserver | ID=896640356 Connection closed for 127.0.0.1
INFO  11:20:31,308 | james.imapserver | ID=1070646222 Connection established from 127.0.0.1
INFO  11:20:41,288 | james.imapserver | ID=1070646222 Connection closed for 127.0.0.1
INFO  11:20:41,296 | james.imapserver | ID=205567063 Connection established from 127.0.0.1
INFO  11:20:41,332 | james.imapserver | ID=205567063 Connection closed for 127.0.0.1
INFO  11:20:41,390 | james.imapserver | ID=410965155 Connection established from 127.0.0.1
INFO  11:20:51,375 | james.imapserver | ID=410965155 Connection closed for 127.0.0.1
INFO  11:20:51,379 | james.imapserver | ID=922323162 Connection established from 127.0.0.1
INFO  11:20:51,417 | james.imapserver | ID=922323162 Connection closed for 127.0.0.1
INFO  11:20:51,465 | james.imapserver | ID=877044126 Connection established from 127.0.0.1
INFO  11:21:01,464 | james.imapserver | ID=877044126 Connection closed for 127.0.0.1
INFO  11:21:01,470 | james.imapserver | ID=1647752064 Connection established from 127.0.0.1
INFO  11:21:01,516 | james.imapserver | ID=1647752064 Connection closed for 127.0.0.1
INFO  11:21:01,582 | james.imapserver | ID=606399438 Connection established from 127.0.0.1
INFO  11:21:11,561 | james.imapserver | ID=606399438 Connection closed for 127.0.0.1
INFO  11:21:11,567 | james.imapserver | ID=1896914463 Connection established from 127.0.0.1
INFO  11:21:11,675 | james.imapserver | ID=1896914463 Connection closed for 127.0.0.1
INFO  11:21:11,861 | james.imapserver | ID=679062192 Connection established from 127.0.0.1
INFO  11:21:21,857 | james.imapserver | ID=679062192 Connection closed for 127.0.0.1
INFO  11:21:21,871 | james.imapserver | ID=399826020 Connection established from 127.0.0.1
INFO  11:21:21,927 | james.imapserver | ID=399826020 Connection closed for 127.0.0.1
INFO  11:21:22,026 | james.imapserver | ID=1539329318 Connection established from 127.0.0.1
INFO  11:21:31,986 | james.imapserver | ID=1539329318 Connection closed for 127.0.0.1
INFO  11:21:31,996 | james.imapserver | ID=39650966 Connection established from 127.0.0.1
INFO  11:21:32,049 | james.imapserver | ID=39650966 Connection closed for 127.0.0.1
INFO  11:21:32,112 | james.imapserver | ID=800297479 Connection established from 127.0.0.1
INFO  11:21:42,105 | james.imapserver | ID=800297479 Connection closed for 127.0.0.1
INFO  11:21:42,111 | james.imapserver | ID=685618076 Connection established from 127.0.0.1
INFO  11:21:42,152 | james.imapserver | ID=685618076 Connection closed for 127.0.0.1
INFO  11:21:42,210 | james.imapserver | ID=1999034432 Connection established from 127.0.0.1
INFO  11:21:52,195 | james.imapserver | ID=1999034432 Connection closed for 127.0.0.1
INFO  11:21:52,200 | james.imapserver | ID=65698077 Connection established from 127.0.0.1
INFO  11:21:52,240 | james.imapserver | ID=65698077 Connection closed for 127.0.0.1
INFO  11:21:52,299 | james.imapserver | ID=876914478 Connection established from 127.0.0.1
INFO  11:22:02,291 | james.imapserver | ID=876914478 Connection closed for 127.0.0.1
INFO  11:22:02,297 | james.imapserver | ID=1366654878 Connection established from 127.0.0.1
INFO  11:22:02,349 | james.imapserver | ID=1366654878 Connection closed for 127.0.0.1
INFO  11:22:02,410 | james.imapserver | ID=967431838 Connection established from 127.0.0.1
INFO  11:22:12,389 | james.imapserver | ID=967431838 Connection closed for 127.0.0.1
INFO  11:22:12,393 | james.imapserver | ID=2089020682 Connection established from 127.0.0.1
INFO  11:22:12,435 | james.imapserver | ID=2089020682 Connection closed for 127.0.0.1
INFO  11:22:12,484 | james.imapserver | ID=140827069 Connection established from 127.0.0.1
INFO  11:22:22,475 | james.imapserver | ID=140827069 Connection closed for 127.0.0.1
INFO  11:22:22,481 | james.imapserver | ID=1782837801 Connection established from 127.0.0.1
INFO  11:22:22,521 | james.imapserver | ID=1782837801 Connection closed for 127.0.0.1
INFO  11:22:22,567 | james.imapserver | ID=1286457217 Connection established from 127.0.0.1
INFO  11:22:32,559 | james.imapserver | ID=1286457217 Connection closed for 127.0.0.1
INFO  11:22:32,565 | james.imapserver | ID=1832410670 Connection established from 127.0.0.1
INFO  11:22:32,604 | james.imapserver | ID=1832410670 Connection closed for 127.0.0.1
INFO  11:22:32,677 | james.imapserver | ID=2131469611 Connection established from 127.0.0.1
INFO  11:22:42,669 | james.imapserver | ID=2131469611 Connection closed for 127.0.0.1
INFO  11:22:42,675 | james.imapserver | ID=826190314 Connection established from 127.0.0.1
INFO  11:22:42,718 | james.imapserver | ID=826190314 Connection closed for 127.0.0.1
INFO  11:22:42,859 | james.imapserver | ID=152746954 Connection established from 127.0.0.1
INFO  11:22:52,761 | james.imapserver | ID=152746954 Connection closed for 127.0.0.1
INFO  11:22:52,769 | james.imapserver | ID=289594544 Connection established from 127.0.0.1
INFO  11:22:52,818 | james.imapserver | ID=289594544 Connection closed for 127.0.0.1
INFO  11:22:52,896 | james.imapserver | ID=892593402 Connection established from 127.0.0.1
INFO  11:23:02,884 | james.imapserver | ID=892593402 Connection closed for 127.0.0.1
INFO  11:23:02,890 | james.imapserver | ID=1576776640 Connection established from 127.0.0.1
INFO  11:23:02,928 | james.imapserver | ID=1576776640 Connection closed for 127.0.0.1
INFO  11:23:03,009 | james.imapserver | ID=1089388323 Connection established from 127.0.0.1
INFO  11:23:12,993 | james.imapserver | ID=1089388323 Connection closed for 127.0.0.1
INFO  11:23:12,997 | james.imapserver | ID=1087062612 Connection established from 127.0.0.1
INFO  11:23:13,032 | james.imapserver | ID=1087062612 Connection closed for 127.0.0.1
INFO  11:23:13,075 | james.imapserver | ID=457343128 Connection established from 127.0.0.1
INFO  11:23:23,067 | james.imapserver | ID=457343128 Connection closed for 127.0.0.1
INFO  11:23:23,073 | james.imapserver | ID=897220111 Connection established from 127.0.0.1
INFO  11:23:23,106 | james.imapserver | ID=897220111 Connection closed for 127.0.0.1
INFO  11:23:23,147 | james.imapserver | ID=357729886 Connection established from 127.0.0.1
INFO  11:23:33,140 | james.imapserver | ID=357729886 Connection closed for 127.0.0.1
INFO  11:23:33,145 | james.imapserver | ID=375430530 Connection established from 127.0.0.1
INFO  11:23:33,185 | james.imapserver | ID=375430530 Connection closed for 127.0.0.1
INFO  11:23:33,255 | james.imapserver | ID=1371717004 Connection established from 127.0.0.1
INFO  11:23:43,221 | james.imapserver | ID=1371717004 Connection closed for 127.0.0.1
INFO  11:23:43,228 | james.imapserver | ID=1404862794 Connection established from 127.0.0.1
INFO  11:23:43,262 | james.imapserver | ID=1404862794 Connection closed for 127.0.0.1
INFO  11:23:43,301 | james.imapserver | ID=1513485494 Connection established from 127.0.0.1
INFO  11:23:53,295 | james.imapserver | ID=1513485494 Connection closed for 127.0.0.1
INFO  11:23:53,302 | james.imapserver | ID=939554922 Connection established from 127.0.0.1
INFO  11:23:53,336 | james.imapserver | ID=939554922 Connection closed for 127.0.0.1
INFO  11:23:53,393 | james.imapserver | ID=738044547 Connection established from 127.0.0.1
INFO  11:24:03,384 | james.imapserver | ID=738044547 Connection closed for 127.0.0.1
INFO  11:24:03,391 | james.imapserver | ID=401843880 Connection established from 127.0.0.1
INFO  11:24:03,433 | james.imapserver | ID=401843880 Connection closed for 127.0.0.1
INFO  11:24:03,505 | james.imapserver | ID=1278508667 Connection established from 127.0.0.1
INFO  11:24:13,488 | james.imapserver | ID=1278508667 Connection closed for 127.0.0.1
INFO  11:24:13,495 | james.imapserver | ID=809896073 Connection established from 127.0.0.1
INFO  11:24:13,535 | james.imapserver | ID=809896073 Connection closed for 127.0.0.1
